Carduus myriacanthus
Caretta caretta
Carex acuta
Carex holostoma
Carex malato-belizii
Carex panormitana
Carlina diae
Carlina onopordifolia
Carpodacus erythrinus
Caseolus calculus
Caseolus commixta
Caseolus sphaerula
Castor canadensis
Castor fiber
Cataetyx laticeps
Catopta thrips
Caulerpa ollivieri
Caulinia tenuissima
Centaurea akamantis
Centaurea alba
Centaurea attica
Centaurea balearica
Centaurea boissieri
Centaurea borjae
Centaurea citricolor
Centaurea corymbosa
Centaurea dubjanskyi
Centaurea fraylensis
Centaurea gadorensis
Centaurea heldreichii
Centaurea hermannii
Centaurea horrida
Centaurea immanuelis-loewii
Centaurea jankae
Centaurea kalambakensis
Centaurea kartschiana
Centaurea lactiflora
Centaurea micrantha
Centaurea niederi
Centaurea peucedanifolia
Centaurea pineticola
Centaurea pinnata
Centaurea pontica
Centaurea princeps
Centaurea pseudoleucolepis
Centaurea pulvinata
Centaurea rothmalerana
Centaurea tchihatcheffii
Centaurea vicentina
Centaurium rigualii
Centaurium somedanum
Centranthus kellererii
Centranthus trinervis
Centrolabrus exoletus
Centroscymnus coelolepis
Centrostephanus longispinus
Cephalanthera cucullata
Cephalozia macounii
Cepphus grylle
Cerambyx cerdo
Cerastium alsinifolium
Cerastium azoricum
Cerastium dinaricum
Cercotrichas galactotes
Ceropegia chrysantha
Certhia brachydactyla
Certhia familiaris
Cervus elaphus
Cervus nippon
Ceryle rudis
Cetorhinus maximus
Cettia cetti
Chaenorhinum serpyllifolium
Chaerophyllum azoricum
Chalcalburnus chalcoides
Chalcides bedriagai
Chalcides chalcides
Chalcides occidentalis
Chalcides ocellatus
Chalcides sexlineatus
Chalcides simonyi
Chalcides striatus
Chalcides viridianus
Chamaeleo africanus
Chamaeleo chamaeleon
Chamaemeles coriacea
Charadrius alexandrinus
Charadrius asiaticus
Charadrius dubius
Charadrius hiaticula
Charadrius leschenaultii
Charadrius morinellus
Charonia rubicunda
Charonia tritonis
Cheirolophus duranii
Cheirolophus falsisectus
Cheirolophus ghomerytus
Cheirolophus junonianus
Cheirolophus massonianus
Cheirolophus metlesicsii
Cheirolophus santosabreui
Cheirolophus satarataensis
Cheirolophus tagananensis
Chelidonichthys lucernus
Chelon labrosus
Chelonia mydas
Chersophilus duponti
Chettusia gregaria
Chettusia leucura
Chiasmodon niger
Chilomycterus atringa
Chilostoma banaticum
Chimaera monstrosa
Chioglossa lusitanica
Chionodoxa lochiae
Chionodoxa luciliae
Chionomys nivalis
Chirolophis ascanii
Chlamydotis undulata
Chlidonias hybridus
Chlidonias leucopterus
Chlidonias niger
Chondrosoma fiduciarium
Chondrostoma almacai
Chondrostoma arrigonis
Chondrostoma duriense
Chondrostoma genei
Chondrostoma kneri
Chondrostoma knerii
Chondrostoma lemmingii
Chondrostoma lusitanicum
Chondrostoma miegii
Chondrostoma nasus
Chondrostoma phoxinus
Chondrostoma polylepis
Chondrostoma soetta
Chondrostoma toxostoma
Chondrostoma turiense
Chondrostoma vardarense
Chondrostoma willkommii
Chrysolophus pictus
Cicer canariensis
Ciconia ciconia
Ciconia nigra
Cinclus cinclus
Cinna latifolia
Circaetus gallicus
Circus aeruginosus
Circus cyaneus
Circus macrourus
Circus pygargus
Cirsium brachycephalum
Cirsium latifolium
Cisticola juncidis
Cistus chinamadensis
Cistus palhinhae
Citellus citellus
Cladonia acuminata
Cladonia alcicornis
Cladonia amaurocraea
Cladonia arbuscula
Cladonia asahinae
Cladonia bacillaris
Cladonia bacilliformis
Cladonia bellidiflora
Cladonia borealis
Cladonia botrytes
Cladonia brevis
Cladonia caespiticia
Cladonia cariosa
Cladonia carneola
Cladonia cenotea
Cladonia cervicornis
Cladonia chlorophaea
Cladonia ciliata
Cladonia coccifera
Cladonia coniocraea
Cladonia conista
Cladonia conspicua
Cladonia convoluta
Cladonia cornuta
Cladonia cornutoradiata
Cladonia crispata
Cladonia cryptochlorophaea
Cladonia cyanipes
Cladonia cyathomorpha
Cladonia decorticata
Cladonia deformis
Cladonia digitata
Cladonia dimorpha
Cladonia diversa
Cladonia ecmocyna
Cladonia fimbriata
Cladonia firma
Cladonia floerkeana
Cladonia foliacea
Cladonia furcata
Cladonia glauca
Cladonia gracilis
Cladonia grayi
Cladonia homosekikaica
Cladonia humilis
Cladonia iberica
Cladonia incrassata
Cladonia luteoalba
Cladonia macilenta
Cladonia macroceras
Cladonia macrophylla
Cladonia macrophyllodes
Cladonia magyarica
Cladonia major
Cladonia maxima
Cladonia mediterranea
Cladonia merochlorophaea
Cladonia mitis
Cladonia monomorpha
